IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
172.64.153.221,4,4,0.00,85.11,0.00,HKG,443
172.66.3.116,4,4,0.00,92.91,0.00,HKG,443
172.66.0.144,4,4,0.00,93.07,0.00,HKG,443
172.64.146.25,4,4,0.00,94.35,0.00,HKG,443
104.21.86.161,4,4,0.00,96.43,0.00,HKG,443
104.21.88.47,4,4,0.00,96.71,0.00,HKG,443
104.21.81.59,4,4,0.00,96.71,0.00,HKG,443
104.21.89.46,4,4,0.00,96.88,0.00,HKG,443
104.21.91.253,4,4,0.00,99.59,0.00,HKG,443
104.18.34.44,4,4,0.00,99.63,0.00,HKG,443
104.21.84.90,4,4,0.00,99.86,0.00,HKG,443
104.21.93.3,4,4,0.00,100.22,0.00,HKG,443
104.21.83.53,4,4,0.00,100.46,0.00,HKG,443
104.21.82.3,4,4,0.00,100.92,0.00,HKG,443
104.21.94.200,4,4,0.00,102.21,0.00,HKG,443
104.21.95.29,4,4,0.00,102.37,0.00,HKG,443
104.21.87.4,4,4,0.00,102.52,0.00,HKG,443
104.21.80.18,4,4,0.00,102.83,0.00,HKG,443
104.21.85.20,4,4,0.00,102.83,0.00,HKG,443
104.21.92.246,4,4,0.00,102.83,0.00,HKG,443
104.18.38.149,4,4,0.00,102.94,0.00,HKG,443
104.21.90.141,4,4,0.00,102.98,0.00,HKG,443
104.25.242.132,4,4,0.00,102.99,0.00,HKG,443
104.25.254.179,4,4,0.00,102.99,0.00,HKG,443
104.25.255.102,4,4,0.00,102.99,0.00,HKG,443
104.25.243.22,4,4,0.00,103.01,0.00,HKG,443
172.65.236.141,4,4,0.00,103.06,0.00,HKG,443
172.66.1.44,4,4,0.00,103.06,0.00,HKG,443
172.65.235.116,4,4,0.00,103.06,0.00,HKG,443
172.65.226.225,4,4,0.00,103.06,0.00,HKG,443
104.25.248.40,4,4,0.00,103.14,0.00,HKG,443
104.25.247.201,4,4,0.00,103.14,0.00,HKG,443
104.25.241.145,4,4,0.00,103.14,0.00,HKG,443
104.25.251.18,4,4,0.00,103.14,0.00,HKG,443
104.25.253.39,4,4,0.00,103.14,0.00,HKG,443
104.25.245.23,4,4,0.00,103.16,0.00,HKG,443
104.25.249.106,4,4,0.00,103.18,0.00,HKG,443
