IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
172.64.53.204,4,4,0.00,58.62,2.81,NRT,443
162.159.45.158,4,4,0.00,56.30,2.81,NRT,443
162.159.48.157,4,4,0.00,95.02,2.77,SIN,443
172.64.41.15,4,4,0.00,94.47,2.74,SIN,443
162.159.43.222,4,4,0.00,94.95,2.72,SIN,443
162.159.26.107,4,4,0.00,94.17,2.68,SIN,443
162.159.34.6,4,4,0.00,94.83,2.64,SIN,443
162.159.38.37,4,4,0.00,55.17,2.63,NRT,443
104.18.46.143,4,4,0.00,95.12,2.55,SIN,443
162.159.44.151,4,4,0.00,55.41,2.54,NRT,443
172.64.32.111,4,4,0.00,95.09,2.53,SIN,443
162.159.33.31,4,4,0.00,95.09,2.49,SIN,443
104.18.37.66,4,4,0.00,94.03,2.48,SIN,443
172.64.38.121,4,4,0.00,95.07,2.47,SIN,443
172.64.35.56,4,4,0.00,94.28,2.47,SIN,443
162.159.39.242,4,4,0.00,56.45,2.47,NRT,443
162.159.24.74,4,4,0.00,94.33,2.45,SIN,443
172.64.34.141,4,4,0.00,93.99,2.37,SIN,443
162.159.35.163,4,4,0.00,94.20,2.37,SIN,443
172.64.50.243,4,4,0.00,94.41,2.36,SIN,443
162.159.40.20,4,4,0.00,94.45,2.34,SIN,443
104.18.35.138,4,4,0.00,95.11,2.34,SIN,443
104.18.42.234,4,4,0.00,95.01,2.32,SIN,443
162.159.27.6,4,4,0.00,93.88,2.31,SIN,443
172.64.33.143,4,4,0.00,94.43,2.30,SIN,443
172.64.49.101,4,4,0.00,94.08,2.30,SIN,443
104.18.33.7,4,4,0.00,95.25,2.23,SIN,443
198.41.222.232,4,4,0.00,95.07,2.21,SIN,443
104.18.44.80,4,4,0.00,94.75,2.20,SIN,443
162.159.36.200,4,4,0.00,94.20,2.15,SIN,443
172.64.52.13,4,4,0.00,56.32,2.14,NRT,443
198.41.223.157,4,4,0.00,94.58,2.05,SIN,443
108.162.198.19,4,4,0.00,57.65,2.00,NRT,443
162.159.32.48,4,4,0.00,95.01,2.00,SIN,443
162.159.25.32,4,4,0.00,94.26,1.98,SIN,443
104.18.45.32,4,4,0.00,94.90,1.97,SIN,443
104.18.38.19,4,4,0.00,94.88,1.93,SIN,443
104.18.34.77,4,4,0.00,95.05,1.86,SIN,443
198.41.211.41,4,4,0.00,94.88,1.82,SIN,443
172.64.42.19,4,4,0.00,94.90,1.78,SIN,443
